,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ANXA1,1.99E-121,0.626364127,1,0.924,5.15E-117
FABP3,1.46E-29,0.625857428,0.366,0.205,3.79E-25
EPB41L1,9.22E-58,0.625413643,0.34,0.136,2.39E-53
RTP4,1.36E-58,0.624943076,0.256,0.089,3.52E-54
MAD2L1BP,9.04E-63,0.624051009,0.251,0.083,2.35E-58
PCCB,1.96E-64,0.623531595,0.298,0.107,5.08E-60
AGA,9.55E-87,0.623467728,0.492,0.192,2.48E-82
CDC37,3.30E-103,0.622611938,0.987,0.688,8.55E-99
PTPN6,5.27E-102,0.62205423,0.98,0.644,1.37E-97
CASP1,6.26E-98,0.620612924,0.946,0.572,1.62E-93
CCND3,2.80E-94,0.618871743,0.891,0.468,7.27E-90
WDR61,1.88E-92,0.615382852,0.715,0.332,4.89E-88
BBS2,3.50E-60,0.614843242,0.286,0.104,9.08E-56
NIT2,1.88E-96,0.614343493,0.676,0.295,4.87E-92
NDUFA9,1.73E-82,0.614301055,0.718,0.352,4.48E-78
BDH2,3.22E-59,0.612784331,0.315,0.121,8.37E-55
RRAGA,5.50E-99,0.612098899,0.72,0.317,1.43E-94
HLA-DQB1,5.78E-142,0.611086939,1,0.96,1.50E-137
PSMB10,1.87E-93,0.610425,0.75,0.35,4.85E-89
CCPG1,2.36E-88,0.610056876,0.794,0.402,6.12E-84
LIMA1,7.39E-82,0.607588946,0.606,0.267,1.92E-77
PTPMT1,5.42E-91,0.606020711,0.925,0.53,1.40E-86
REXO2,1.45E-88,0.605797153,0.757,0.369,3.75E-84
MRPS22,4.28E-88,0.605530588,0.507,0.198,1.11E-83
FH,7.44E-72,0.603498141,0.443,0.18,1.93E-67
TAGLN2,3.95E-123,0.603182972,1,0.906,1.02E-118
OPTN,9.33E-82,0.60301961,0.657,0.303,2.42E-77
DTX4,1.35E-73,0.602574523,0.396,0.15,3.50E-69
ABHD5,5.51E-98,0.60055232,0.889,0.472,1.43E-93
CRELD1,6.63E-64,0.600518749,0.342,0.13,1.72E-59
PNPLA2,6.76E-89,0.600384115,0.709,0.321,1.75E-84
MNDA,1.99E-90,0.598651788,0.965,0.686,5.17E-86
STXBP2,3.68E-111,0.597170574,0.996,0.737,9.55E-107
DEFB1,6.61E-76,0.596120795,0.497,0.215,1.71E-71
GMPR,5.71E-67,0.59504674,0.389,0.154,1.48E-62
FPR1,9.95E-87,0.593753688,0.816,0.425,2.58E-82
RP11-1008C21.1,3.44E-93,0.593387433,0.672,0.302,8.91E-89
GLIPR2,4.37E-108,0.59325218,0.996,0.765,1.13E-103
TXNIP,1.56E-93,0.591340785,0.992,0.801,4.05E-89
GALNS,3.59E-63,0.589924432,0.414,0.172,9.30E-59
GLRX,1.52E-119,0.58936846,0.999,0.871,3.95E-115
IFIT5,5.85E-64,0.589052461,0.297,0.106,1.52E-59
ATP1B1,3.79E-95,0.588427415,0.945,0.554,9.84E-91
NIT1,4.50E-73,0.588410338,0.49,0.206,1.17E-68
TCF7L2,5.01E-100,0.588372212,0.918,0.47,1.30E-95
MNAT1,6.81E-56,0.587609359,0.258,0.092,1.77E-51
GRN,9.73E-159,0.587434957,1,0.955,2.52E-154
PRDX1,4.00E-120,0.58699084,1,0.907,1.04E-115
CHDH,1.93E-49,0.586895757,0.259,0.099,5.02E-45
APOL1,4.80E-75,0.586884219,0.53,0.228,1.24E-70
TNFAIP8L2,7.11E-95,0.585790738,0.71,0.318,1.84E-90
HLA-DRA,1.43E-154,0.584841129,1,0.998,3.71E-150
RBP4,1.43E-74,0.584247338,0.62,0.309,3.72E-70
RMND1,3.06E-55,0.58364324,0.289,0.109,7.93E-51
MESDC2,1.89E-83,0.58214534,0.806,0.415,4.91E-79
PSMB5,1.84E-79,0.580995584,0.869,0.481,4.77E-75
EXOSC9,6.95E-76,0.578944831,0.377,0.138,1.80E-71
TGM2,7.42E-73,0.577480347,0.864,0.497,1.93E-68
LACTB2,3.36E-87,0.577273275,0.585,0.246,8.71E-83
ALDH1A1,4.11E-105,0.576941936,0.941,0.536,1.07E-100
PDCL,2.35E-83,0.576907407,0.589,0.251,6.09E-79
PAQR5,1.02E-60,0.576866697,0.353,0.139,2.66E-56
TMEM59,5.84E-100,0.574449341,0.992,0.792,1.51E-95
TTC39B,1.45E-68,0.5742603,0.434,0.177,3.75E-64
LAMP2,7.30E-92,0.572687424,0.98,0.7,1.89E-87
CD63,2.76E-122,0.572664766,1,0.968,7.17E-118
ENPP4,6.78E-80,0.57226427,0.67,0.309,1.76E-75
HIBCH,1.50E-57,0.572047524,0.283,0.104,3.90E-53
SVIL,2.03E-90,0.571917257,0.85,0.428,5.26E-86
RAC2,1.06E-86,0.57049998,0.965,0.604,2.75E-82
PPP1R7,5.63E-87,0.569163501,0.821,0.418,1.46E-82
HAGH,9.83E-79,0.568611741,0.838,0.448,2.55E-74
IFT43,5.43E-76,0.567761942,0.42,0.16,1.41E-71
BCAP31,1.03E-98,0.56747128,0.995,0.78,2.67E-94
DPEP2,1.04E-80,0.566634188,0.641,0.292,2.69E-76
KIN,1.14E-71,0.566326694,0.43,0.171,2.96E-67
BATF3,7.62E-86,0.565795792,0.409,0.146,1.98E-81
G6PC3,3.07E-70,0.564440726,0.608,0.285,7.96E-66
UBASH3B,6.51E-79,0.561759509,0.652,0.298,1.69E-74
DNASE2B,1.26E-78,0.561290944,0.459,0.187,3.27E-74
LY6E,1.00E-111,0.561165094,1,0.84,2.60E-107
ERP44,3.27E-88,0.561114464,0.947,0.607,8.48E-84
MED27,1.84E-55,0.559789697,0.269,0.099,4.78E-51
ABCF3,3.81E-54,0.559700435,0.262,0.096,9.89E-50
MRPL46,5.57E-70,0.558723565,0.368,0.139,1.44E-65
LTV1,1.66E-63,0.55864214,0.383,0.153,4.31E-59
AHSA1,7.49E-87,0.558170185,0.665,0.298,1.94E-82
DBR1,7.18E-61,0.557794885,0.337,0.13,1.86E-56
FDFT1,2.27E-84,0.557723144,0.785,0.391,5.89E-80
TPTEP1,5.32E-52,0.557253873,0.288,0.112,1.38E-47
SP140,1.38E-56,0.556572514,0.425,0.188,3.57E-52
GLRX2,1.82E-83,0.556296613,0.683,0.314,4.73E-79
APOO,3.11E-58,0.555670552,0.282,0.103,8.08E-54
GALNT12,9.26E-60,0.554755502,0.403,0.17,2.40E-55
TEX14,1.89E-48,0.553808399,0.318,0.135,4.91E-44
ARV1,1.45E-59,0.553797837,0.345,0.137,3.75E-55
AMIGO2,2.91E-83,0.552908496,0.697,0.321,7.55E-79
DNASE2,1.92E-79,0.549010359,0.955,0.608,4.99E-75
FARSB,6.70E-77,0.548849815,0.502,0.205,1.74E-72
PSMC2,4.39E-84,0.547695725,0.836,0.441,1.14E-79
SIRPB1,6.47E-75,0.546196284,0.572,0.252,1.68E-70
PSME2,4.71E-101,0.545875189,0.994,0.8,1.22E-96
CDK5RAP1,2.05E-58,0.545805054,0.279,0.101,5.31E-54
CENPV,2.88E-58,0.545702957,0.381,0.158,7.46E-54
NAE1,1.38E-58,0.543434348,0.304,0.114,3.57E-54
HSP90AA1,3.00E-124,0.542147733,0.999,0.955,7.79E-120
ACTR10,2.23E-84,0.541577402,0.691,0.315,5.78E-80
ITGB8,1.00E-60,0.541434497,0.352,0.139,2.59E-56
STIP1,8.98E-89,0.541252315,0.708,0.32,2.33E-84
HSP90B1,2.00E-95,0.540372884,0.996,0.819,5.19E-91
PNPLA6,7.08E-86,0.536327255,0.975,0.624,1.84E-81
NDUFS2,6.05E-75,0.535024974,0.648,0.31,1.57E-70
HOXB6,1.72E-50,0.534970995,0.287,0.114,4.46E-46
MVP,4.24E-78,0.532771908,0.801,0.423,1.10E-73
NLRC4,2.38E-65,0.532555541,0.36,0.138,6.17E-61
PDHA1,7.80E-73,0.531846434,0.595,0.267,2.02E-68
NUP37,2.95E-57,0.531012154,0.317,0.124,7.65E-53
OAS1,4.70E-90,0.530669776,0.733,0.346,1.22E-85
TLCD2,3.23E-40,0.530229379,0.271,0.117,8.37E-36
RPF1,6.57E-83,0.529760208,0.618,0.273,1.70E-78
CTSC,2.07E-103,0.529709872,0.998,0.922,5.37E-99
FFAR4,1.40E-78,0.529242028,0.733,0.357,3.64E-74
CD300LF,1.10E-76,0.527615327,0.841,0.445,2.86E-72
GTF2B,3.99E-66,0.526858576,0.587,0.277,1.03E-61
GMFG,1.06E-112,0.523920711,1,0.872,2.75E-108
NUP107,1.08E-52,0.522172121,0.331,0.135,2.80E-48
ADH5,4.35E-85,0.521892947,0.702,0.318,1.13E-80
RNF149,3.13E-75,0.520988154,0.979,0.686,8.11E-71
PSMD8,3.84E-83,0.520892231,0.972,0.65,9.97E-79
MRPL13,8.47E-78,0.520879128,0.794,0.405,2.20E-73
TUBG1,1.71E-56,0.520693032,0.34,0.137,4.45E-52
NAA20,1.42E-75,0.519902667,0.902,0.539,3.69E-71
DHRS4,1.10E-57,0.519681612,0.591,0.297,2.86E-53
MPZL2,8.80E-61,0.519471849,0.358,0.142,2.28E-56
SPINT1,9.81E-71,0.518829353,0.574,0.259,2.55E-66
COMT,8.74E-89,0.518398834,0.994,0.813,2.27E-84
HACD3,7.49E-65,0.517559271,0.481,0.209,1.94E-60
TXNDC9,5.79E-84,0.517417516,0.59,0.251,1.50E-79
FIP1L1,4.12E-70,0.515272454,0.434,0.174,1.07E-65
COQ2,4.41E-69,0.514990669,0.726,0.368,1.14E-64
TALDO1,1.93E-88,0.51326928,0.995,0.783,5.02E-84
RP5-839B4.8,3.97E-85,0.512806771,0.807,0.407,1.03E-80
PAPSS1,3.29E-82,0.512510387,0.783,0.393,8.53E-78
HEATR5B,1.23E-49,0.510846555,0.297,0.119,3.20E-45
CARS2,1.08E-62,0.508267834,0.467,0.201,2.81E-58
NFU1,2.19E-79,0.506868579,0.823,0.42,5.69E-75
UROD,8.03E-83,0.506721486,0.661,0.297,2.08E-78
G6PD,5.21E-72,0.505856535,0.735,0.365,1.35E-67
CHST12,2.18E-66,0.505792109,0.473,0.201,5.67E-62
DDRGK1,3.11E-74,0.505597553,0.849,0.465,8.07E-70
UNC50,3.96E-83,0.50433958,0.586,0.245,1.03E-78
VPS29,8.54E-86,0.50271878,0.993,0.756,2.22E-81
ANXA4,1.24E-73,0.50271583,0.911,0.548,3.22E-69
FABP5,3.75E-114,0.502020156,0.999,0.872,9.73E-110
GNL2,4.31E-68,0.501466359,0.437,0.178,1.12E-63
PSMA4,5.74E-85,0.501245762,0.983,0.711,1.49E-80
C1QC,2.76E-89,0.500782028,1,0.915,7.16E-85
VMO1,1.04E-90,0.499683244,0.875,0.468,2.69E-86
TTC1,4.99E-74,0.498869139,0.833,0.435,1.29E-69
ANOS1,7.35E-58,0.49733578,0.419,0.18,1.91E-53
HADHB,3.61E-72,0.495217154,0.898,0.536,9.37E-68
UNC5B,4.52E-66,0.495184497,0.475,0.201,1.17E-61
ECHDC1,4.86E-69,0.494807981,0.82,0.447,1.26E-64
NDUFS3,1.59E-71,0.494433548,0.864,0.498,4.11E-67
ALDH3A2,3.68E-68,0.494105846,0.686,0.335,9.54E-64
C14orf119,9.73E-72,0.493850576,0.785,0.416,2.52E-67
CCT7,1.46E-80,0.493749339,0.782,0.384,3.80E-76
TCTN3,1.25E-51,0.49371688,0.297,0.117,3.24E-47
EMC3,9.88E-72,0.493155031,0.866,0.489,2.56E-67
NANS,2.34E-74,0.492990881,0.93,0.577,6.06E-70
MFSD7,8.55E-58,0.492018319,0.565,0.272,2.22E-53
COQ5,3.10E-64,0.491888395,0.423,0.174,8.04E-60
PNO1,4.40E-69,0.491138213,0.392,0.151,1.14E-64
PEPD,4.41E-74,0.490912565,0.886,0.508,1.15E-69
HDDC2,2.63E-68,0.490792335,0.933,0.562,6.81E-64
ST7,2.83E-42,0.490592823,0.251,0.101,7.34E-38
IL3RA,5.84E-78,0.490583206,0.614,0.274,1.52E-73
MRPL1,2.12E-74,0.489232441,0.599,0.269,5.50E-70
PSD3,2.05E-59,0.489163004,0.375,0.152,5.31E-55
HSD17B10,1.22E-70,0.488699371,0.853,0.478,3.16E-66
GCA,2.42E-69,0.488540741,0.878,0.519,6.28E-65
COA6,1.05E-75,0.488007168,0.843,0.453,2.73E-71
GSDMD,1.13E-73,0.487827997,0.795,0.41,2.93E-69
ATP5A1,1.00E-68,0.487467353,0.964,0.656,2.60E-64
MSR1,1.57E-98,0.486068388,0.995,0.822,4.09E-94
SLC25A20,1.98E-49,0.485873604,0.265,0.101,5.14E-45
RNH1,2.38E-82,0.485644618,0.992,0.795,6.18E-78
DERL1,6.24E-71,0.484487905,0.816,0.434,1.62E-66
GSN,3.62E-61,0.483713072,0.982,0.731,9.40E-57
ILVBL,1.25E-58,0.483103052,0.433,0.187,3.24E-54
SUCLG1,1.59E-76,0.482381957,0.809,0.413,4.14E-72
PLRG1,1.02E-59,0.482362058,0.372,0.15,2.65E-55
PSMA5,1.43E-69,0.482028404,0.879,0.522,3.72E-65
DCTPP1,3.14E-78,0.481930299,0.737,0.348,8.15E-74
NT5C3B,2.04E-64,0.481843154,0.503,0.219,5.28E-60
C10orf128,7.77E-63,0.481630898,0.646,0.322,2.02E-58
CNIH4,1.38E-78,0.481118831,0.914,0.538,3.59E-74
SCCPDH,7.07E-68,0.479435381,0.883,0.514,1.83E-63
HSPA5,1.41E-75,0.479000225,0.936,0.614,3.66E-71
IFIT3,8.25E-104,0.478319857,0.821,0.395,2.14E-99
PPA2,1.26E-70,0.477186569,0.748,0.381,3.26E-66
CCDC53,6.22E-74,0.477135622,0.768,0.388,1.61E-69
PCMT1,5.64E-73,0.476017499,0.878,0.498,1.46E-68
THUMPD3,1.46E-61,0.475429663,0.375,0.15,3.78E-57
ACAA1,1.06E-69,0.474644503,0.846,0.458,2.75E-65
MYL6,6.96E-150,0.474156119,1,0.991,1.81E-145
TRUB2,1.76E-42,0.473957508,0.254,0.102,4.55E-38
TMEM38B,2.25E-64,0.473907057,0.545,0.251,5.85E-60
TRIP6,1.17E-71,0.473720614,0.664,0.313,3.03E-67
RENBP,9.54E-77,0.472442201,0.8,0.412,2.47E-72
TMEM220,2.01E-67,0.471511797,0.506,0.216,5.23E-63
ACP5,8.16E-88,0.471252462,0.999,0.885,2.12E-83
DCAF13,1.69E-64,0.471109309,0.369,0.144,4.39E-60
ATIC,1.08E-61,0.47056818,0.48,0.211,2.79E-57
PLIN2,9.11E-70,0.468597929,0.998,0.813,2.36E-65
CETN2,2.58E-75,0.467414159,0.701,0.334,6.69E-71
EXOSC7,5.89E-72,0.466344879,0.432,0.169,1.53E-67
TRAP1,9.33E-53,0.466282354,0.347,0.144,2.42E-48
FUNDC2,6.71E-75,0.466254072,0.802,0.414,1.74E-70
ARL1,8.28E-77,0.46595116,0.63,0.281,2.15E-72
CCZ1B,7.43E-45,0.465504594,0.251,0.098,1.93E-40
APOL4,3.82E-69,0.465138385,0.536,0.235,9.92E-65
CBR1,3.84E-73,0.464757392,0.813,0.423,9.96E-69
PSMD6,3.13E-76,0.464668556,0.685,0.322,8.12E-72
POLR3K,6.05E-55,0.463918385,0.55,0.266,1.57E-50
RETN,7.46E-91,0.463726381,0.922,0.539,1.94E-86
CIAO1,2.84E-68,0.462843486,0.516,0.222,7.37E-64
ZNF622,8.37E-64,0.462768111,0.587,0.275,2.17E-59
DOK2,7.21E-72,0.462584574,0.993,0.74,1.87E-67
CPSF3,1.62E-51,0.462262755,0.313,0.127,4.21E-47
RASAL2,4.56E-59,0.460757434,0.609,0.303,1.18E-54
SORT1,1.64E-64,0.460193029,0.77,0.401,4.24E-60
SLC47A1,5.59E-34,0.46004361,0.259,0.116,1.45E-29
TUBA1A,3.20E-61,0.459812538,0.904,0.597,8.31E-57
RNASEH2A,5.30E-46,0.459804277,0.308,0.13,1.37E-41
CDC123,1.48E-75,0.457383133,0.536,0.227,3.84E-71
MSRA,2.29E-65,0.457252933,0.761,0.394,5.94E-61
C20orf27,8.73E-66,0.457242038,0.964,0.631,2.26E-61
ACTR6,3.01E-58,0.456703975,0.286,0.105,7.82E-54
PTGR1,8.77E-59,0.456439136,0.436,0.192,2.27E-54
C11orf1,2.66E-63,0.45592455,0.467,0.202,6.91E-59
LINC00996,5.86E-49,0.455879601,0.291,0.117,1.52E-44
ZNF24,2.57E-62,0.455803959,0.525,0.238,6.67E-58
DCTN6,1.38E-69,0.455334132,0.772,0.4,3.57E-65
UTP18,1.33E-72,0.455170731,0.626,0.284,3.46E-68
BRIX1,7.70E-54,0.45431884,0.33,0.133,2.00E-49
EIF6,1.53E-67,0.454132097,0.907,0.545,3.98E-63
CAPG,1.81E-100,0.453937853,0.999,0.929,4.71E-96
TMED1,1.12E-60,0.453700297,0.555,0.256,2.92E-56
SCPEP1,1.19E-57,0.45239411,0.931,0.621,3.10E-53
HENMT1,3.44E-43,0.451812025,0.273,0.112,8.91E-39
PRDX4,5.64E-67,0.45150582,0.799,0.423,1.46E-62
NT5C3A,1.14E-88,0.451356161,0.702,0.316,2.97E-84
PARP4,7.56E-62,0.451124558,0.525,0.238,1.96E-57
EXOSC3,6.78E-57,0.451045186,0.404,0.172,1.76E-52
MECR,3.68E-41,0.450550832,0.284,0.121,9.55E-37
TIGAR,5.67E-70,0.450033933,0.514,0.219,1.47E-65
ACADVL,9.60E-64,0.44993226,0.917,0.57,2.49E-59
NUCB1,3.49E-59,0.449844768,0.983,0.705,9.06E-55
CLIC1,3.08E-113,0.449359238,1,0.936,8.00E-109
PEBP1,1.09E-75,0.449354771,0.999,0.835,2.82E-71
MRPS28,8.04E-63,0.449238754,0.455,0.195,2.09E-58
TXNDC11,8.71E-65,0.448790698,0.647,0.308,2.26E-60
ATP6AP1,1.39E-64,0.447706428,0.984,0.734,3.61E-60
TRIM21,8.11E-51,0.447267288,0.294,0.115,2.10E-46
GALT,1.92E-53,0.447265796,0.303,0.118,4.99E-49
STAC,2.54E-70,0.446700874,0.656,0.298,6.59E-66
SUCNR1,1.22E-53,0.446636781,0.396,0.171,3.16E-49
MDH2,7.91E-62,0.444949274,0.951,0.624,2.05E-57
VRK2,3.17E-65,0.444774368,0.55,0.246,8.21E-61
SRFBP1,5.11E-63,0.444245609,0.397,0.16,1.33E-58
EXOSC8,2.15E-59,0.444206651,0.404,0.17,5.57E-55
RP11-284N8.3,2.52E-56,0.444021918,0.396,0.166,6.55E-52
PSMC4,3.74E-79,0.443970222,0.744,0.359,9.71E-75
MICU2,1.91E-69,0.443932238,0.461,0.19,4.96E-65
GUSB,2.50E-60,0.443887884,0.883,0.52,6.48E-56
SOD1,4.35E-70,0.443749738,0.995,0.797,1.13E-65
PUF60,5.25E-69,0.44309212,0.761,0.388,1.36E-64
PEX19,1.18E-57,0.442798223,0.476,0.213,3.06E-53
SNUPN,7.57E-59,0.44205189,0.446,0.193,1.96E-54
NKAP,1.17E-65,0.441924378,0.69,0.338,3.03E-61
ANAPC10,3.59E-73,0.441898843,0.543,0.23,9.32E-69
HCK,1.54E-63,0.441652139,0.963,0.648,4.00E-59
TMBIM4,3.37E-62,0.441275088,0.944,0.666,8.74E-58
TERF2IP,1.05E-70,0.441169614,0.802,0.412,2.71E-66
CXCL5,1.92E-58,0.44088815,0.41,0.18,4.99E-54
DPP3,6.61E-57,0.44018486,0.36,0.146,1.71E-52
TMEM175,6.72E-49,0.439774745,0.297,0.119,1.74E-44
ECI2,2.60E-58,0.439737752,0.451,0.199,6.73E-54
NOP58,2.98E-68,0.439527808,0.471,0.197,7.73E-64
SPOCD1,8.50E-53,0.439365839,0.427,0.195,2.21E-48
LMAN2,6.63E-62,0.438329381,0.955,0.655,1.72E-57
MFSD10,3.71E-65,0.43800474,0.805,0.421,9.63E-61
SLC39A10,1.27E-64,0.438003931,0.626,0.3,3.30E-60
SGF29,2.05E-48,0.437854528,0.337,0.142,5.31E-44
TSG101,1.87E-69,0.437772764,0.757,0.384,4.86E-65
AATF,3.66E-63,0.437732028,0.594,0.278,9.51E-59
TRAPPC13,7.88E-50,0.437702078,0.252,0.094,2.04E-45
IGSF8,1.53E-41,0.437690875,0.27,0.113,3.96E-37
SDAD1,1.29E-63,0.435866489,0.5,0.219,3.34E-59
STX12,5.88E-64,0.43585685,0.899,0.534,1.52E-59
HLA-F,1.59E-60,0.435775709,0.877,0.518,4.14E-56
MPHOSPH10,1.40E-60,0.435673423,0.399,0.164,3.64E-56
PYCR2,2.19E-59,0.435256683,0.508,0.231,5.68E-55
TOR1A,1.17E-66,0.434964522,0.592,0.268,3.04E-62
RASGRP2,4.83E-70,0.434926819,0.663,0.309,1.25E-65
FPR2,2.29E-33,0.434573332,0.306,0.148,5.94E-29
FIG4,6.40E-66,0.434317558,0.606,0.277,1.66E-61
TERF1,2.76E-66,0.432896939,0.501,0.216,7.15E-62
SNRNP35,6.76E-66,0.432814097,0.365,0.139,1.75E-61
ERI1,4.81E-47,0.432465189,0.329,0.139,1.25E-42
CMC1,9.92E-71,0.431339687,0.825,0.431,2.57E-66
PEX16,6.88E-61,0.431329104,0.558,0.255,1.78E-56
TANC2,1.82E-58,0.431239059,0.548,0.255,4.72E-54
GCDH,2.26E-40,0.430927629,0.251,0.103,5.86E-36
MAGED2,1.07E-63,0.430073492,0.436,0.183,2.78E-59
LY86,8.11E-64,0.429551774,0.95,0.669,2.10E-59
COMMD10,5.04E-65,0.429056476,0.554,0.253,1.31E-60
PAK1IP1,7.53E-67,0.428960358,0.382,0.148,1.95E-62
NRBF2,1.31E-65,0.42886537,0.805,0.435,3.40E-61
STX18,5.63E-59,0.428585725,0.434,0.185,1.46E-54
RBFA,5.30E-49,0.428254012,0.329,0.137,1.38E-44
EPRS,1.95E-65,0.427976268,0.531,0.234,5.06E-61
PSMA7,6.78E-94,0.427956399,1,0.92,1.76E-89
RTN4,1.54E-87,0.427887366,1,0.908,3.99E-83
ARRDC4,1.02E-64,0.427683176,0.603,0.289,2.64E-60
UACA,1.84E-47,0.425408123,0.28,0.112,4.78E-43
MALSU1,8.52E-63,0.424776323,0.573,0.263,2.21E-58
SELPLG,1.24E-59,0.424508304,0.848,0.492,3.21E-55
LMAN1,1.03E-58,0.424260264,0.749,0.399,2.68E-54
HLA-DPA1,5.62E-137,0.424239813,1,0.985,1.46E-132
NUDC,3.78E-65,0.424094128,0.85,0.483,9.80E-61
ITM2B,5.33E-109,0.423579374,1,0.967,1.38E-104
S100A11,1.66E-127,0.423436363,1,0.992,4.31E-123
CPPED1,4.04E-61,0.423381828,0.667,0.333,1.05E-56
PSMD7,9.81E-58,0.423052122,0.927,0.593,2.55E-53
FDPS,3.43E-55,0.42304714,0.588,0.292,8.90E-51
MSMO1,2.59E-48,0.422095121,0.397,0.182,6.71E-44
APH1B,2.69E-61,0.422041135,0.533,0.245,6.98E-57
FAHD1,1.05E-53,0.421703071,0.356,0.147,2.72E-49
MRC1,1.77E-55,0.421534552,0.997,0.798,4.60E-51
PSEN2,1.12E-47,0.421341124,0.301,0.122,2.90E-43
PCED1B,5.90E-51,0.421159508,0.412,0.184,1.53E-46
C18orf32,1.42E-64,0.421152726,0.44,0.182,3.68E-60
MRPL22,3.95E-67,0.421102302,0.67,0.32,1.03E-62
LENG1,1.45E-67,0.421084632,0.524,0.227,3.75E-63
CYB5R3,9.31E-57,0.420767375,0.911,0.542,2.41E-52
CD74,4.10E-141,0.420505685,1,0.996,1.06E-136
TMEM223,1.75E-58,0.420503161,0.378,0.155,4.55E-54
TOR1B,1.97E-49,0.419743979,0.314,0.128,5.11E-45
ECHDC2,4.02E-55,0.419483553,0.419,0.182,1.04E-50
SCIMP,2.00E-63,0.419362675,0.725,0.364,5.18E-59
TIMM50,2.04E-71,0.419256476,0.526,0.221,5.29E-67
GAA,2.40E-56,0.419226703,0.954,0.647,6.22E-52
CTNNBL1,5.17E-62,0.418923955,0.632,0.305,1.34E-57
C8orf76,8.67E-50,0.418829779,0.322,0.133,2.25E-45
SPI1,4.56E-82,0.41774426,1,0.905,1.18E-77
PSMD12,1.82E-64,0.417604048,0.599,0.284,4.72E-60
RRBP1,4.21E-52,0.416560732,0.796,0.45,1.09E-47
RSU1,7.76E-59,0.415642184,0.913,0.574,2.01E-54
ACADS,4.27E-60,0.414965965,0.522,0.237,1.11E-55
VRK3,6.37E-54,0.414491871,0.353,0.145,1.65E-49
SCP2,3.83E-62,0.414286633,0.983,0.756,9.93E-58
S100A6,7.85E-100,0.414039309,1,0.987,2.04E-95
UBE2L6,1.90E-60,0.413590966,0.957,0.658,4.93E-56
CYB561D2,4.89E-64,0.413449883,0.646,0.307,1.27E-59
IK,1.42E-65,0.413356061,0.751,0.388,3.69E-61
PSMB6,1.81E-63,0.413277832,0.978,0.685,4.70E-59
ACSF2,2.10E-54,0.413109857,0.316,0.123,5.46E-50
HSD17B11,1.18E-59,0.413000634,0.946,0.637,3.07E-55
SRI,4.40E-58,0.412539032,0.941,0.626,1.14E-53
ACAT2,4.62E-38,0.412228471,0.342,0.163,1.20E-33
DLD,1.48E-66,0.411835598,0.682,0.328,3.84E-62
TSPAN15,1.56E-50,0.411761494,0.446,0.209,4.05E-46
PSMB1,1.41E-64,0.41108595,0.986,0.746,3.66E-60
MRPS31,5.86E-59,0.410109786,0.353,0.14,1.52E-54
NEIL2,1.42E-47,0.409575453,0.365,0.16,3.69E-43
COMMD1,8.03E-66,0.408813111,0.766,0.392,2.08E-61
SCD,8.72E-67,0.408466817,0.932,0.583,2.26E-62
PEF1,3.11E-57,0.408210258,0.509,0.235,8.07E-53
RDH14,3.14E-53,0.407730906,0.375,0.159,8.14E-49
NCF4,2.92E-60,0.407722697,0.909,0.552,7.58E-56
DPM1,3.90E-61,0.407637997,0.65,0.318,1.01E-56
FRG1,6.88E-65,0.407325078,0.729,0.37,1.79E-60
POP4,1.02E-67,0.406528108,0.631,0.291,2.64E-63
TMEM261,7.36E-58,0.406505226,0.875,0.519,1.91E-53
OGFOD3,2.15E-65,0.406069618,0.58,0.261,5.58E-61
TBC1D4,2.62E-53,0.405860229,0.414,0.183,6.79E-49
PGM3,1.93E-51,0.405791359,0.273,0.103,5.00E-47
ECHS1,3.73E-57,0.405631115,0.873,0.527,9.68E-53
PSMB3,1.80E-65,0.40549649,0.982,0.76,4.68E-61
SNRPB2,5.04E-64,0.405146461,0.95,0.602,1.31E-59
QSOX1,2.23E-56,0.404782576,0.814,0.458,5.78E-52
TRMT10C,2.17E-57,0.404449562,0.467,0.208,5.63E-53
MRPL32,5.18E-63,0.404137372,0.672,0.33,1.34E-58
CATSPER1,3.78E-58,0.403174085,0.453,0.199,9.80E-54
PGK1,7.90E-72,0.403125946,0.992,0.801,2.05E-67
CMAS,9.08E-59,0.40295452,0.624,0.302,2.36E-54
TMED5,2.08E-58,0.40286131,0.943,0.595,5.40E-54
COPS5,4.65E-64,0.402759273,0.72,0.355,1.21E-59
GSTK1,6.59E-55,0.40259339,0.978,0.718,1.71E-50
GSS,1.94E-54,0.40242426,0.471,0.214,5.04E-50
HYAL2,5.29E-46,0.402270819,0.351,0.153,1.37E-41
CCDC92,9.22E-41,0.402098191,0.294,0.127,2.39E-36
CD37,2.22E-67,0.402050718,0.998,0.842,5.77E-63
ATP5B,4.02E-60,0.401718333,0.98,0.747,1.04E-55
MR1,1.43E-62,0.401186806,0.604,0.282,3.72E-58
GAR1,8.00E-56,0.401063555,0.429,0.187,2.07E-51
FAHD2A,9.54E-43,0.400750955,0.286,0.12,2.48E-38
CSTA,6.39E-62,0.400715175,0.995,0.803,1.66E-57
NOL7,2.74E-64,0.400594152,0.806,0.428,7.10E-60
HAT1,2.33E-63,0.400508175,0.546,0.247,6.04E-59
MINK1,1.39E-55,0.40034291,0.604,0.295,3.61E-51
CYB5R1,1.15E-62,0.399931098,0.695,0.346,3.00E-58
MTHFS,3.23E-59,0.399438894,0.518,0.235,8.38E-55
